code,name,type,colorCode,academicYear,semester
20001-1001,สุขภาพความปลอดภัยและสิ่งแวดล้อม,subject,#2563EB,2569,1
20001-1004,กฎหมายแรงงาน,subject,#7C3AED,2569,1
21900-1005,เครือข่ายคอมพิวเตอร์,subject,#0891B2,2569,1
21901-2008,การออกแบบส่วนติดต่อผู้ใช้,subject,#EA580C,2569,1
21901-2017,เทคโนโลยีการนำเข้าข้อมูลเข้าสู่ระบบคอมพิวเตอร์,subject,#16A34A,2569,1
21901-2020,ปฏิบัติงานบริการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ,subject,#DB2777,2569,1
21910-2010,การเขียนโปรแกรมภาษาคอมพิวเตอร์,subject,#4F46E5,2569,1
31901-2001,การออกแบบส่วนติดต่อผู้ใช้ขั้นสูง,subject,#9333EA,2569,1
31901-2004,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Front-End,subject,#0284C7,2569,1
31901-2009,การพัฒนาซอฟต์แวร์สำหรับอุปกรณ์เคลื่อนที่,subject,#0D9488,2569,1
31910-0004,การเขียนโปรแกรมคอมพิวเตอร์,subject,#CA8A04,2569,1
Home Room,กิจกรรมโฮมรูม,activity,#64748B,2569,1
PLC,ชุมชนการเรียนรู้ทางวิชาชีพ,activity,#475569,2569,1
